keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
의족제작,2080,440,280,70,70,70,70,70,70,70
의자사출,150,90,70,70,70,70,70,70,70,70
의료기제작,250,210,170,70,70,70,70,70,70,70
의료기디자인,3630,3120,3070,2000,1490,1340,1070,890,840,740
의료기기제작업체,70,70,70,70,70,70,70,70,70,70
의료기기제작,800,570,470,380,320,250,200,150,120,100
의료기기설계,670,580,530,500,470,430,400,350,310,270
의료기기디자인,7890,7440,6600,6100,5520,5110,4750,4370,4050,3720
의료기기대행,580,70,70,70,70,70,70,70,70,70
의료기기개발,920,680,530,340,150,80,80,70,70,70
의료기계제작,80,80,70,70,70,70,70,70,70,70
음식포장박스제작,80,70,70,70,70,70,70,70,70,70
위탁생산,370,290,250,230,220,210,200,180,160,140
원형몰드,520,360,340,330,320,310,270,240,210,180
워터볼제작,160,110,100,70,70,70,70,70,70,70
우레탄금형,310,260,230,210,180,150,120,90,70,70
용역개발,320,140,70,70,70,70,70,70,70,70
용기주문제작,1290,890,710,510,370,260,210,200,160,100
용기제조업체,990,790,420,330,300,270,230,190,170,140
용기제작업체,830,440,310,70,70,70,70,70,70,70
용기제작,880,800,710,610,520,440,390,350,310,270
용기업체,1430,790,420,380,330,240,200,170,150,130
용기사출,120,90,80,70,70,70,70,70,70,70
용기금형,100,70,70,70,70,70,70,70,70,70
용기공장,360,330,300,220,180,140,100,90,80,80
외주개발업체,5010,2630,2160,530,250,140,120,90,80,70
외주개발,6270,4870,3880,3060,2390,2070,1880,1680,1450,1230
완구제작,440,350,330,310,270,230,210,180,160,120
애견용품제작,190,120,80,70,70,70,70,70,70,70
압출기제작,260,90,80,70,70,70,70,70,70,70
압출금형제작,70,70,70,70,70,70,70,70,70,70
압축금형,340,90,90,70,70,70,70,70,70,70
압력용기제작업체,600,330,100,100,80,70,70,70,70,70
알미늄금형,180,140,110,70,70,70,70,70,70,70
알루미늄주문제작,650,400,250,220,180,150,100,90,80,70
알루미늄압출성형,70,70,70,70,70,70,70,70,70,70
알루미늄금형,720,610,590,560,520,470,430,410,380,340
안산금형,800,130,70,70,70,70,70,70,70,70
아크릴금형,80,70,70,70,70,70,70,70,70,70
아이디어제품화,470,360,140,70,70,70,70,70,70,70
아이디어제품개발,1080,790,710,610,520,430,320,260,230,180
아이디어상품화,640,590,550,500,450,400,350,320,270,240
아이디어상품제작,1620,1530,1410,1330,1260,1160,1080,980,890,810
아이디어상품개발,1490,980,720,570,440,400,380,340,300,260
사출생산,170,100,90,70,70,70,70,70,70,70
시흥금형,1230,340,340,70,70,70,70,70,70,70
시작금형,570,560,490,390,360,180,160,130,110,100
시사출비용,70,70,70,70,70,70,70,70,70,70
시사출,620,500,430,70,70,70,70,70,70,70
시금형제작,110,80,70,70,70,70,70,70,70,70
시금형,140,120,110,70,70,70,70,70,70,70
수직사출성형기,100,90,90,70,70,70,70,70,70,70
수직사출,90,70,70,70,70,70,70,70,70,70
소형사출기,840,290,130,120,100,100,90,80,80,70
소형사출,360,240,110,70,70,70,70,70,70,70
