relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
턴밀가공,20,< 10,0.3,0.0,2.23,0.0,3,높음
초정밀가공,50,20,2.2,0.0,4.16,0.0,15,높음
아크릴탭가공,10,< 10,0.7,0.0,11.12,0.0,2,중간
CNC부품,40,30,1.1,1.3,3.11,4.17,13,중간
금속가공기계,40,50,1.0,0.3,2.32,0.63,14,높음
빌딩모형,10,30,0.5,0.3,5.07,0.99,9,중간
RP,4340,7030,0.3,0.3,0.01,0.01,3,높음
용산3D프린터,10,10,0.0,0.7,0.0,4.66,3,높음
투명PC,110,70,1.1,2.0,1.1,2.9,13,중간
머시닝가공,40,10,1.3,0.0,3.25,0.0,15,높음
제품설계도면,< 10,< 10,0.3,0.0,16.67,0.0,3,높음
조명설계,130,100,1.7,1.3,1.55,1.5,15,높음
기발한발명품,160,400,0.5,0.0,0.31,0.0,12,중간
CAD모델링,10,10,0.0,0.0,0.0,0.0,3,높음
도면제작업체,< 10,< 10,0.2,0.0,2.33,0.0,6,중간
MC가이드,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
밀링선반,320,550,1.9,3.3,0.67,0.67,15,높음
모리아게,< 10,20,0.0,0.0,0.0,0.0,1,중간
스틸가이드,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
대전3D프린터출력,< 10,< 10,0.7,0.0,33.34,0.0,3,높음
군산3D프린터,< 10,< 10,0.7,0.0,22.23,0.0,3,높음
아크릴3D프린터,< 10,< 10,0.3,0.0,6.67,0.0,3,높음
졸업작품대행업체,< 10,10,0.1,0.0,4.45,0.0,15,높음
졸작대행,20,30,1.1,2.0,4.29,5.89,15,높음
3D프린터졸업작품,< 10,10,0.3,0.0,4.77,0.0,3,높음
VISIJET,10,< 10,1.4,0.0,12.91,0.0,3,높음
3D프린팅업체,230,250,11.3,27.8,5.27,11.91,15,높음
TESTJIG,20,< 10,1.6,0.0,7.8,0.0,4,낮음
소형3D프린터,20,20,0.4,0.0,1.68,0.0,14,높음
조인트박스,360,280,1.9,0.8,0.56,0.31,14,높음
모델링업체,10,< 10,0.2,0.0,1.67,0.0,15,높음
제품용기,30,20,1.0,0.0,3.58,0.0,7,중간
기구물제작,10,< 10,0.5,0.0,4.46,0.0,14,높음
절곡업체,10,10,0.1,0.3,0.8,2.09,14,높음
절곡회사,< 10,10,0.0,0.4,0.0,3.34,3,높음
알루미늄판가공,70,50,1.7,0.0,2.55,0.0,15,높음
실리콘목업,10,10,0.9,0.7,7.08,7.41,8,중간
렉산파는곳,10,60,0.0,1.3,0.0,1.97,13,중간
