연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
라이노외주,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
디자인어워드,390,0.6,0.16,160,0.0,0.0,7,중간
블랙박스디자인,< 10,0.0,0.0,10,0.0,0.0,3,높음
서비스디자인,1300,0.3,0.03,850,0.0,0.0,12,중간
포트폴리오제작업체,< 10,0.1,1.12,< 10,0.0,0.0,15,높음
공공디자인회사,20,0.0,0.0,10,0.0,0.0,3,높음
내부싸인,10,0.7,6.75,< 10,0.3,4.35,9,중간
제품용기,30,1.2,3.97,20,0.7,3.51,10,중간
캡스톤디자인제작,20,1.0,3.71,10,0.3,1.76,3,높음
의료기디자인,< 10,0.2,5.0,< 10,0.0,0.0,15,높음
제품디자인외주,10,0.5,3.12,< 10,0.0,0.0,15,높음
대전디자인회사,110,1.4,1.21,90,1.0,1.15,15,높음
기구설계의뢰,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
소상공인디자인,10,0.0,0.0,< 10,0.0,0.0,3,높음
제품디자인컨설팅,< 10,0.3,6.78,< 10,0.0,0.0,15,높음
디자인상품제작,< 10,0.0,0.0,< 10,0.5,50.0,3,높음
밥솥디자인,< 10,0.3,8.34,10,0.0,0.0,3,높음
그릇디자인,30,0.4,1.32,120,1.0,0.82,12,중간
기구설계회사,< 10,0.7,16.67,< 10,0.0,0.0,15,높음
연구소디자인,< 10,0.3,11.12,< 10,0.0,0.0,3,높음
모바일오피스,170,0.1,0.08,290,0.3,0.13,15,높음
환경개선공사,50,0.0,0.0,20,0.0,0.0,3,높음
판넬주문제작,20,3.2,11.97,40,0.3,0.84,9,중간
제품목업,40,0.9,2.18,10,0.0,0.0,15,높음
공기청정기개발,10,0.7,6.67,< 10,0.0,0.0,3,높음
제품기획,140,0.2,0.15,80,1.0,1.27,15,높음
수전디자인,< 10,0.3,3.71,10,0.0,0.0,3,높음
3D모델링외주,30,2.0,5.89,30,1.3,3.93,15,높음
의료기기설계,30,0.3,0.84,20,0.3,1.15,15,높음
특이한인테리어,40,0.3,0.57,120,0.5,0.41,15,높음
캡스톤제작,10,0.4,4.35,10,0.4,4.35,3,높음
드론디자인,10,0.7,4.45,10,0.0,0.0,3,높음
제품생산,90,0.3,0.38,50,0.3,0.7,15,높음
3D모델링사이트,150,0.0,0.0,50,0.0,0.0,15,높음
외함제작,30,1.8,5.32,10,2.3,17.95,15,높음
기구개발,100,0.1,0.14,80,0.0,0.0,15,높음
아이디어제품개발,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
티비디자인,< 10,0.0,0.0,20,0.0,0.0,3,높음
MOLD,3670,0.8,0.03,6670,1.3,0.03,10,중간
시제품디자인,< 10,0.6,7.63,< 10,0.0,0.0,15,높음
몰드디자인,< 10,0.0,0.0,10,0.0,0.0,3,높음
도어락제작,< 10,0.0,0.0,< 10,0.7,22.23,3,높음
간이금형,90,1.4,1.53,30,0.0,0.0,15,높음
유명디자인회사,10,0.3,2.24,10,0.0,0.0,15,높음
디자인개발,120,0.4,0.35,40,1.7,3.55,15,높음
화장품케이스디자인,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
아이디어용품,90,1.4,1.46,190,2.3,1.19,15,높음
개발대행,20,0.1,0.58,10,0.0,0.0,15,높음
플라스틱모형제작,< 10,0.0,0.0,20,0.7,2.9,15,높음
3D모델링디자인,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
3D모델링렌더링,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
도면알바,130,2.7,2.03,150,1.3,0.92,15,높음
유명한디자인회사,10,0.0,0.0,30,0.0,0.0,15,높음
알루미늄핸들,30,1.7,4.52,20,0.7,2.57,11,중간
핸드폰디자인,30,0.2,0.58,50,0.0,0.0,6,중간
자동차디자인회사,< 10,0.3,4.77,20,0.0,0.0,3,높음
제품디자인회사순위,< 10,0.1,2.44,< 10,0.0,0.0,10,중간
기구설계외주,< 10,0.4,10.0,< 10,0.0,0.0,15,높음
목합,50,0.3,0.62,70,0.0,0.0,15,높음
시작품제작,20,0.5,1.91,< 10,0.0,0.0,15,높음
플라스틱가공업체,30,1.5,4.74,30,0.3,1.12,15,높음
조명디자인,350,1.5,0.43,420,6.0,1.46,15,높음
3D디자인업체,10,0.8,6.16,< 10,0.0,0.0,15,높음
제품디자인기업,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
3D디자인회사,< 10,0.2,3.34,< 10,0.0,0.0,15,높음
UIUX디자인에이전시,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
3D제품디자인,20,0.1,0.48,30,0.3,1.15,15,높음
제품디자인개발,20,0.3,1.34,< 10,0.0,0.0,15,높음
3DVR,100,1.2,1.23,190,3.3,1.83,15,높음
3DMAX회사,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
CG,2240,2.7,0.13,5530,6.5,0.13,15,높음
그래픽제작,20,0.5,2.43,< 10,0.0,0.0,15,높음
모델링제작,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
렌더링이미지,30,0.0,0.0,30,0.0,0.0,3,높음
3D제품,20,0.1,0.67,10,1.0,6.25,15,높음
3D이미지만들기,20,0.0,0.0,< 10,0.0,0.0,3,높음
제품컨설팅,10,0.7,6.07,< 10,0.0,0.0,3,높음
그래픽업체,< 10,0.3,6.67,< 10,0.0,0.0,15,높음
아이디어제작,10,0.7,4.45,10,0.0,0.0,15,높음
특허도면사,10,0.4,2.71,30,0.0,0.0,3,높음
캐드작업,70,0.1,0.11,110,0.3,0.31,15,높음
캐드용역,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
캐드도면제작,< 10,0.5,5.94,< 10,0.0,0.0,15,높음
CAD아르바이트,10,0.3,2.43,< 10,0.0,0.0,15,높음
도면대행,30,1.1,3.24,30,1.6,4.32,15,높음
설계회사,180,1.3,0.7,180,0.0,0.0,15,높음
실내인테리어도면,20,0.3,1.67,20,0.3,1.29,3,높음
설계도면,940,1.6,0.18,710,0.7,0.1,15,높음
도면그려주는곳,< 10,0.4,4.96,10,0.0,0.0,13,중간
샘플제작,130,3.3,2.5,150,6.5,4.51,15,높음
프라스틱성형,< 10,0.1,1.12,10,0.3,2.09,15,높음
캐드도면대행,< 10,0.3,3.34,< 10,0.0,0.0,15,높음
CAD알바,80,1.6,2.0,110,2.0,1.86,15,높음
도면설계,120,0.3,0.21,120,0.0,0.0,15,높음
도면의뢰,20,0.7,3.18,20,1.7,6.95,15,높음
제품디자인제작,10,0.3,4.17,< 10,0.0,0.0,15,높음
PACKAGE,3670,0.2,0.01,5750,2.0,0.04,10,높음
제품케이스디자인,< 10,0.9,28.58,< 10,0.0,0.0,14,높음
신제품개발,170,0.5,0.32,120,0.0,0.0,15,높음
CAD대행,< 10,0.2,8.11,< 10,0.0,0.0,12,중간
판넬주문,10,0.7,6.67,20,1.3,5.13,3,높음
플라스틱시제품제작,< 10,0.1,2.23,10,0.0,0.0,15,높음
대구시제품제작,10,0.3,3.34,10,0.7,6.07,15,높음
워킹목업제작,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
전문디자인업체,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
3D이미지제작,< 10,0.2,5.0,< 10,0.0,0.0,15,높음
독서실디자인,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
